id,attack_cat
425,Reconnaissance
426,Fuzzers
427,Normal
428,Fuzzers
429,Fuzzers
430,DoS
431,Generic
432,Generic
433,Generic
434,Fuzzers
435,Generic
436,Fuzzers
437,Fuzzers
438,Normal
439,Generic
440,Generic
441,Reconnaissance
442,Generic
443,Normal
444,Reconnaissance
445,Exploits
446,Normal
447,Fuzzers
448,DoS
449,Exploits
450,Fuzzers
451,Normal
452,Fuzzers
453,Fuzzers
454,Exploits
455,DoS
456,DoS
457,Fuzzers
458,Normal
459,Generic
460,DoS
461,Fuzzers
462,DoS
463,Exploits
464,Generic
465,Generic
466,DoS
467,Fuzzers
468,DoS
469,Fuzzers
470,DoS
471,Normal
472,Fuzzers
473,Fuzzers
474,DoS
475,Normal
476,Normal
477,Normal
478,Generic
479,DoS
480,DoS
481,Fuzzers
482,DoS
483,Fuzzers
484,Fuzzers
485,Normal
486,Normal
487,Fuzzers
488,Generic
489,Generic
490,Exploits
491,Exploits
492,DoS
493,DoS
494,Exploits
495,Fuzzers
496,Fuzzers
497,Normal
498,DoS
499,Fuzzers
500,DoS
501,Fuzzers
502,DoS
503,Normal
504,Normal
505,DoS
506,Fuzzers
507,DoS
508,Fuzzers
509,Normal
510,Normal
511,Fuzzers
512,Fuzzers
513,Fuzzers
514,Reconnaissance
515,Exploits
516,DoS
517,Generic
518,Exploits
519,DoS
520,DoS
521,Fuzzers
522,Reconnaissance
523,Fuzzers
524,Fuzzers
525,Fuzzers
526,DoS
527,DoS
528,DoS
529,Exploits
530,DoS
531,Normal
532,Generic
533,Normal
534,Generic
535,Fuzzers
536,Fuzzers
537,Reconnaissance
538,Generic
539,Exploits
540,Generic
541,Generic
542,Normal
543,Generic
544,Fuzzers
545,Generic
546,Normal
547,Fuzzers
548,Fuzzers
549,Reconnaissance
550,Generic
551,Fuzzers
552,Reconnaissance
553,Normal
554,Normal
555,Exploits
556,Fuzzers
557,Exploits
558,Generic
559,Generic
560,DoS
561,Fuzzers
562,Fuzzers
563,Fuzzers
564,Normal
565,Fuzzers
566,Normal
567,Generic
568,Generic
569,Exploits
570,Generic
571,Exploits
572,Generic
573,Fuzzers
574,Exploits
575,Fuzzers
576,Fuzzers
577,DoS
578,Fuzzers
579,DoS
580,Exploits
581,Generic
582,Normal
583,Fuzzers
584,Exploits
585,Exploits
586,DoS
587,Normal
588,Normal
589,Exploits
590,Reconnaissance
591,Fuzzers
592,DoS
593,Normal
594,Generic
595,Generic
596,Generic
597,DoS
598,Normal
599,Generic
600,Normal
601,Reconnaissance
602,DoS
603,Exploits
604,DoS
605,DoS
606,Normal
607,Fuzzers
608,DoS
609,Fuzzers
610,Exploits
611,DoS
612,Fuzzers
613,Normal
614,DoS
615,Normal
616,Generic
617,DoS
618,Normal
619,Fuzzers
620,Normal
621,Normal
622,Exploits
623,Fuzzers
624,DoS
625,Fuzzers
626,DoS
627,DoS
628,Reconnaissance
629,DoS
630,Generic
631,Normal
632,Normal
633,Normal
634,DoS
635,Generic
636,Fuzzers
637,Generic
638,DoS
639,Fuzzers
640,Fuzzers
641,Generic
642,Normal
643,Reconnaissance
644,Generic
645,Generic
646,Fuzzers
647,Fuzzers
648,Fuzzers
649,Fuzzers
650,Generic
651,DoS
652,Exploits
653,Fuzzers
654,Generic
655,DoS
656,DoS
657,Generic
658,Normal
659,Generic
660,Fuzzers
661,Fuzzers
662,Fuzzers
663,Fuzzers
664,Fuzzers
665,Fuzzers
666,DoS
667,Fuzzers
668,DoS
669,Exploits
670,DoS
671,Fuzzers
672,Generic
673,Normal
674,Generic
675,Fuzzers
676,DoS
677,Exploits
678,DoS
679,DoS
680,Fuzzers
681,Exploits
682,DoS
683,DoS
684,Fuzzers
685,Reconnaissance
686,Fuzzers
687,Fuzzers
688,DoS
689,DoS
690,DoS
691,DoS
692,Normal
693,DoS
694,Normal
695,Fuzzers
696,Generic
697,Generic
698,DoS
699,Normal
700,Fuzzers
701,Normal
702,Generic
703,Fuzzers
704,Fuzzers
705,Reconnaissance
706,Fuzzers
707,Exploits
708,Normal
709,Exploits
710,Fuzzers
711,Generic
712,Fuzzers
713,DoS
714,Normal
715,Generic
716,Exploits
717,Normal
718,Normal
719,Reconnaissance
720,Generic
721,DoS
722,Generic
723,Reconnaissance
724,Exploits
725,Exploits
726,DoS
727,Exploits
728,DoS
729,Exploits
730,Generic
731,Exploits
732,Normal
733,DoS
734,Fuzzers
735,Generic
736,Normal
737,DoS
738,Generic
739,Fuzzers
740,Exploits
741,Fuzzers
742,Generic
743,Fuzzers
744,Normal
745,Exploits
746,Generic
747,Fuzzers
748,Generic
749,Fuzzers
750,DoS
751,Fuzzers
752,Fuzzers
753,DoS
754,DoS
755,Normal
756,Fuzzers
757,Normal
758,DoS
759,Generic
760,DoS
761,Generic
762,Fuzzers
763,Fuzzers
764,Normal
765,Fuzzers
766,Reconnaissance
767,DoS
768,Exploits
769,Fuzzers
770,Generic
771,DoS
772,Normal
773,Normal
774,Generic
775,Fuzzers
776,Generic
777,Fuzzers
778,Generic
779,Exploits
780,Fuzzers
781,DoS
782,Generic
783,DoS
784,DoS
785,Exploits
786,Reconnaissance
787,DoS
788,Fuzzers
789,Generic
790,DoS
791,Exploits
792,Normal
793,Generic
794,Generic
795,Reconnaissance
796,Normal
797,DoS
798,Generic
799,Exploits
800,DoS
801,Generic
802,DoS
803,Fuzzers
804,DoS
805,DoS
806,DoS
807,Backdoor
808,Generic
809,Normal
810,DoS
811,Exploits
812,Exploits
813,Exploits
814,Normal
815,Reconnaissance
816,Fuzzers
817,Reconnaissance
818,DoS
819,Exploits
820,Generic
821,Normal
822,Reconnaissance
823,Fuzzers
824,Fuzzers
825,Fuzzers
826,Generic
827,Generic
828,Generic
829,Fuzzers
830,Fuzzers
831,Generic
832,Fuzzers
833,Normal
834,Generic
835,Fuzzers
836,DoS
837,Exploits
838,Fuzzers
839,Fuzzers
840,Fuzzers
841,DoS
842,DoS
843,DoS
844,Fuzzers
845,Exploits
846,Exploits
847,Normal
848,Normal
849,Fuzzers
850,Normal
851,Normal
852,DoS
853,Fuzzers
854,DoS
855,DoS
856,Fuzzers
857,Normal
858,Fuzzers
859,Generic
860,Exploits
861,Reconnaissance
862,DoS
863,Normal
864,Generic
865,DoS
866,Generic
867,Fuzzers
868,Reconnaissance
869,DoS
870,DoS
871,Normal
872,Fuzzers
873,Normal
874,Fuzzers
875,Exploits
876,Generic
877,Backdoor
878,DoS
879,DoS
880,Normal
881,Reconnaissance
882,Generic
883,Normal
884,Exploits
885,Generic
886,Exploits
887,Normal
888,Reconnaissance
889,Reconnaissance
890,Normal
891,Exploits
892,Normal
893,Fuzzers
894,DoS
895,Generic
896,Fuzzers
897,Fuzzers
898,Generic
899,DoS
900,Fuzzers
901,Generic
902,Fuzzers
903,Normal
904,Normal
905,Generic
906,Exploits
907,Exploits
908,Normal
909,Generic
910,DoS
911,Reconnaissance
912,Normal
913,Fuzzers
914,Normal
915,DoS
916,Normal
917,Normal
918,Generic
919,DoS
920,Normal
921,DoS
922,Generic
923,DoS
924,Normal
925,Generic
926,Fuzzers
927,Normal
928,Normal
929,DoS
930,Normal
931,Fuzzers
932,Exploits
933,Fuzzers
934,Generic
935,DoS
936,Fuzzers
937,Exploits
938,Generic
939,Fuzzers
940,Generic
941,Exploits
942,Fuzzers
943,DoS
944,Normal
945,Fuzzers
946,Fuzzers
947,DoS
948,Generic
949,Fuzzers
950,DoS
951,Fuzzers
952,Fuzzers
953,DoS
954,Exploits
955,DoS
956,Fuzzers
957,DoS
958,DoS
959,Generic
960,DoS
961,Normal
962,Reconnaissance
963,Generic
964,Normal
965,Normal
966,Normal
967,Fuzzers
968,Normal
969,Generic
970,Normal
971,Generic
972,DoS
973,Normal
974,DoS
975,Reconnaissance
976,DoS
977,Generic
978,Generic
979,Generic
980,DoS
981,Exploits
982,Normal
983,Exploits
984,Normal
985,Exploits
986,Fuzzers
987,DoS
988,Generic
989,Exploits
990,Generic
991,Reconnaissance
992,Generic
993,Normal
994,Fuzzers
995,Normal
996,Reconnaissance
997,DoS
998,Analysis
999,Fuzzers
1000,Normal
1001,Normal
1002,Normal
1003,Fuzzers
1004,Fuzzers
1005,Generic
1006,DoS
1007,Fuzzers
1008,DoS
1009,DoS
1010,Fuzzers
1011,Generic
1012,Fuzzers
1013,DoS
1014,Exploits
1015,Generic
1016,Fuzzers
1017,Fuzzers
1018,Fuzzers
1019,Fuzzers
1020,Generic
1021,DoS
1022,Fuzzers
1023,Exploits
1024,Fuzzers
1025,Fuzzers
1026,Exploits
1027,Fuzzers
1028,Reconnaissance
1029,DoS
1030,DoS
1031,Generic
1032,Fuzzers
1033,DoS
1034,Generic
1035,Generic
1036,Fuzzers
1037,Exploits
1038,Generic
1039,Reconnaissance
1040,Normal
1041,Fuzzers
1042,Reconnaissance
1043,Exploits
1044,Reconnaissance
1045,Fuzzers
1046,Exploits
1047,Normal
1048,Generic
1049,Exploits
1050,Generic
1051,Fuzzers
1052,Fuzzers
1053,Normal
1054,Normal
1055,DoS
1056,Normal
1057,Generic
1058,Normal
1059,DoS
1060,Normal
1061,Fuzzers
1062,Generic
1063,Generic
1064,Normal
1065,Generic
1066,Fuzzers
1067,DoS
1068,Exploits
1069,Generic
1070,DoS
1071,Exploits
1072,DoS
1073,Normal
1074,Exploits
1075,Generic
1076,Generic
1077,Generic
1078,Generic
1079,Generic
1080,Fuzzers
1081,Normal
1082,DoS
1083,Fuzzers
1084,Fuzzers
1085,DoS
1086,Generic
1087,Fuzzers
1088,Normal
1089,Normal
1090,Fuzzers
1091,Generic
1092,Normal
1093,Generic
1094,Normal
1095,Normal
1096,Reconnaissance
1097,Fuzzers
1098,Generic
1099,Generic
1100,Fuzzers
1101,DoS
1102,Normal
1103,DoS
1104,Generic
1105,Fuzzers
1106,Fuzzers
1107,Fuzzers
1108,Normal
1109,Generic
1110,Fuzzers
1111,Fuzzers
1112,Normal
1113,DoS
1114,Fuzzers
1115,Normal
1116,Normal
1117,Generic
1118,Generic
1119,DoS
1120,Normal
1121,Exploits
1122,Normal
1123,Reconnaissance
1124,Normal
1125,DoS
1126,Normal
1127,Fuzzers
1128,Fuzzers
1129,DoS
1130,Fuzzers
1131,Generic
1132,DoS
1133,Fuzzers
1134,Normal
1135,Exploits
1136,DoS
1137,Fuzzers
1138,Exploits
1139,Normal
1140,Normal
1141,Fuzzers
1142,Normal
1143,Normal
1144,Normal
1145,Fuzzers
1146,Normal
1147,Fuzzers
1148,Generic
1149,DoS
1150,Normal
1151,DoS
1152,Fuzzers
1153,DoS
1154,Fuzzers
1155,Exploits
1156,Normal
1157,Fuzzers
1158,Exploits
1159,Fuzzers
1160,Generic
1161,Generic
1162,DoS
1163,Fuzzers
1164,Fuzzers
1165,Exploits
1166,Fuzzers
1167,Fuzzers
1168,DoS
1169,Fuzzers
1170,Normal
1171,Generic
1172,Generic
1173,Fuzzers
1174,Fuzzers
1175,Generic
1176,Fuzzers
1177,Normal
1178,Fuzzers
1179,Fuzzers
1180,DoS
1181,Normal
1182,Exploits
1183,DoS
1184,Exploits
1185,Generic
1186,Fuzzers
1187,Normal
1188,DoS
1189,Generic
1190,Exploits
1191,Normal
1192,Normal
1193,DoS
1194,Fuzzers
1195,DoS
1196,Normal
1197,Normal
1198,Normal
1199,Fuzzers
1200,Fuzzers
1201,Generic
1202,Fuzzers
1203,Fuzzers
1204,Normal
1205,Normal
1206,Fuzzers
1207,DoS
1208,DoS
1209,Normal
1210,Fuzzers
1211,Generic
1212,Fuzzers
1213,Fuzzers
1214,Reconnaissance
1215,Reconnaissance
1216,DoS
1217,DoS
1218,Reconnaissance
1219,DoS
1220,Fuzzers
1221,Reconnaissance
1222,Generic
1223,Normal
1224,Reconnaissance
1225,Normal
1226,Fuzzers
1227,Exploits
1228,DoS
1229,Generic
1230,Fuzzers
1231,Fuzzers
1232,Normal
1233,DoS
1234,DoS
1235,Generic
1236,Fuzzers
1237,Exploits
1238,Normal
1239,DoS
1240,Fuzzers
1241,Generic
1242,Generic
1243,Generic
1244,DoS
1245,Reconnaissance
1246,DoS
1247,Exploits
1248,DoS
1249,Fuzzers
1250,DoS
1251,DoS
1252,Fuzzers
1253,Generic
1254,Fuzzers
1255,Exploits
1256,Generic
1257,Generic
1258,Exploits
1259,Generic
1260,Normal
1261,DoS
1262,DoS
1263,Reconnaissance
1264,Exploits
1265,DoS
1266,Generic
1267,Reconnaissance
1268,Reconnaissance
1269,Generic
1270,Normal
1271,DoS
1272,DoS
1273,DoS
1274,Fuzzers
1275,Reconnaissance
1276,Fuzzers
1277,Fuzzers
1278,Analysis
1279,Normal
1280,Fuzzers
1281,DoS
1282,DoS
1283,Reconnaissance
1284,Normal
1285,Fuzzers
1286,DoS
1287,Fuzzers
1288,Generic
1289,Normal
1290,DoS
1291,Generic
1292,Fuzzers
1293,Reconnaissance
1294,Fuzzers
1295,Fuzzers
1296,Fuzzers
1297,DoS
1298,DoS
1299,DoS
1300,Exploits
1301,Shellcode
1302,DoS
1303,Normal
1304,Reconnaissance
1305,Reconnaissance
1306,Fuzzers
1307,Normal
1308,Generic
1309,Fuzzers
1310,Exploits
1311,Normal
1312,DoS
1313,DoS
1314,Fuzzers
1315,Generic
1316,DoS
1317,Exploits
1318,DoS
1319,Generic
1320,Reconnaissance
1321,Generic
1322,Fuzzers
1323,Fuzzers
1324,Normal
1325,Exploits
1326,Fuzzers
1327,Normal
1328,Reconnaissance
1329,Generic
1330,Exploits
1331,Generic
1332,Fuzzers
1333,DoS
1334,Exploits
1335,Fuzzers
1336,DoS
1337,DoS
1338,Normal
1339,Fuzzers
1340,Fuzzers
1341,DoS
1342,Reconnaissance
1343,Fuzzers
1344,Normal
1345,Fuzzers
1346,Fuzzers
1347,Exploits
1348,Reconnaissance
1349,DoS
1350,DoS
1351,Generic
1352,Exploits
1353,Exploits
1354,Exploits
1355,Normal
1356,DoS
1357,Generic
1358,DoS
1359,Normal
1360,Normal
1361,Normal
1362,Normal
1363,DoS
1364,DoS
1365,Exploits
1366,Normal
1367,DoS
1368,Normal
1369,Fuzzers
1370,Fuzzers
1371,Fuzzers
1372,DoS
1373,Fuzzers
1374,Fuzzers
1375,Fuzzers
1376,Generic
1377,Fuzzers
1378,Generic
1379,Fuzzers
1380,Exploits
1381,DoS
1382,Fuzzers
1383,Generic
1384,DoS
1385,Fuzzers
1386,Normal
1387,Exploits
1388,Normal
1389,Generic
1390,Fuzzers
1391,Normal
1392,DoS
1393,DoS
1394,Normal
1395,DoS
1396,Normal
1397,Fuzzers
1398,Normal
1399,Fuzzers
1400,DoS
1401,Exploits
1402,Normal
1403,Generic
1404,Normal
1405,Exploits
1406,Generic
1407,Reconnaissance
1408,DoS
1409,DoS
1410,Fuzzers
1411,Fuzzers
1412,DoS
1413,Generic
1414,DoS
1415,Generic
1416,Exploits
1417,Generic
1418,Normal
1419,Generic
1420,Generic
1421,Generic
1422,DoS
1423,DoS
1424,Generic
1425,Fuzzers
1426,DoS
1427,Exploits
1428,Fuzzers
1429,Fuzzers
1430,Generic
1431,DoS
1432,Reconnaissance
1433,DoS
1434,Generic
1435,Generic
1436,DoS
1437,DoS
1438,Reconnaissance
1439,Normal
1440,DoS
1441,DoS
1442,Fuzzers
1443,DoS
1444,Fuzzers
1445,Fuzzers
1446,Exploits
1447,DoS
1448,Fuzzers
1449,Exploits
1450,Fuzzers
1451,Fuzzers
1452,Normal
1453,Normal
1454,DoS
1455,Exploits
1456,Normal
1457,Fuzzers
1458,Fuzzers
1459,Normal
1460,Normal
1461,DoS
1462,DoS
1463,DoS
1464,Generic
1465,DoS
1466,Normal
1467,Normal
1468,Normal
1469,Normal
1470,Fuzzers
1471,Reconnaissance
1472,Generic
1473,Fuzzers
1474,Fuzzers
1475,Generic
1476,Normal
1477,DoS
1478,Generic
1479,DoS
1480,Normal
1481,DoS
1482,DoS
1483,Generic
1484,Reconnaissance
1485,DoS
1486,Exploits
1487,Exploits
1488,DoS
1489,Shellcode
1490,Fuzzers
1491,Generic
1492,DoS
1493,Exploits
1494,Fuzzers
1495,Fuzzers
1496,Fuzzers
1497,Normal
1498,Exploits
1499,DoS
1500,Exploits
1501,Generic
1502,Reconnaissance
1503,Normal
1504,Fuzzers
1505,Reconnaissance
1506,Generic
1507,Fuzzers
1508,Fuzzers
1509,Exploits
1510,Fuzzers
1511,Fuzzers
1512,Fuzzers
1513,DoS
1514,DoS
1515,Fuzzers
1516,Fuzzers
1517,DoS
1518,Generic
1519,Reconnaissance
1520,DoS
1521,Exploits
1522,Fuzzers
1523,Fuzzers
1524,DoS
1525,DoS
1526,Fuzzers
1527,Reconnaissance
1528,Fuzzers
1529,Exploits
1530,Fuzzers
1531,DoS
1532,Fuzzers
1533,Normal
1534,DoS
1535,DoS
1536,Normal
1537,DoS
1538,Fuzzers
1539,Normal
1540,Normal
1541,Fuzzers
1542,Fuzzers
1543,Fuzzers
1544,Fuzzers
1545,Exploits
1546,Normal
1547,Exploits
1548,Normal
1549,Generic
1550,Fuzzers
1551,Normal
1552,Fuzzers
1553,Exploits
1554,DoS
1555,Reconnaissance
1556,Fuzzers
1557,Generic
1558,DoS
1559,Exploits
1560,DoS
1561,Normal
1562,Generic
1563,Normal
1564,Normal
1565,DoS
1566,Normal
1567,Fuzzers
1568,DoS
1569,Normal
1570,Exploits
1571,DoS
1572,Fuzzers
1573,DoS
1574,Generic
1575,DoS
1576,DoS
1577,Generic
1578,Fuzzers
1579,Fuzzers
1580,Normal
1581,Fuzzers
1582,Fuzzers
1583,Fuzzers
1584,Reconnaissance
1585,DoS
1586,Normal
1587,Reconnaissance
1588,DoS
1589,Fuzzers
1590,DoS
1591,Generic
1592,Normal
1593,Backdoor
1594,Fuzzers
1595,DoS
1596,Fuzzers
1597,DoS
1598,DoS
1599,Normal
1600,Normal
1601,Fuzzers
1602,Reconnaissance
1603,DoS
1604,Normal
1605,Fuzzers
1606,Exploits
1607,Normal
1608,Fuzzers
1609,Normal
1610,DoS
1611,Generic
1612,Generic
1613,DoS
1614,Fuzzers
1615,DoS
1616,Normal
1617,Normal
1618,Exploits
1619,Normal
1620,Fuzzers
1621,Generic
1622,Normal
1623,Normal
1624,Normal
1625,DoS
1626,Exploits
1627,Fuzzers
1628,DoS
1629,Reconnaissance
1630,Generic
1631,Generic
1632,Exploits
1633,Fuzzers
1634,Generic
1635,DoS
1636,DoS
1637,Fuzzers
1638,DoS
1639,Exploits
1640,Reconnaissance
1641,Generic
1642,Exploits
1643,Exploits
1644,Normal
1645,Generic
1646,Fuzzers
1647,Generic
1648,DoS
1649,Exploits
1650,Exploits
1651,Fuzzers
1652,Fuzzers
1653,Normal
1654,Normal
1655,Reconnaissance
1656,Fuzzers
1657,Fuzzers
1658,Exploits
1659,Normal
1660,Fuzzers
1661,DoS
1662,DoS
1663,Fuzzers
1664,Fuzzers
1665,Fuzzers
1666,DoS
1667,Generic
1668,Generic
1669,Generic
1670,Fuzzers
1671,Fuzzers
1672,Reconnaissance
1673,Normal
1674,Normal
1675,Reconnaissance
1676,Generic
1677,Fuzzers
1678,DoS
1679,DoS
1680,DoS
1681,Reconnaissance
1682,Fuzzers
1683,DoS
1684,Normal
1685,Normal
1686,Exploits
1687,Normal
1688,Exploits
1689,Normal
1690,Normal
1691,Fuzzers
1692,Reconnaissance
1693,Reconnaissance
1694,Fuzzers
1695,DoS
1696,Exploits
1697,Normal
1698,Exploits
1699,DoS
1700,Fuzzers
1701,DoS
1702,Normal
1703,Fuzzers
1704,Exploits
1705,Exploits
1706,Fuzzers
1707,Generic
1708,Exploits
1709,Exploits
1710,Normal
1711,DoS
1712,Exploits
1713,DoS
1714,Normal
1715,Fuzzers
1716,Fuzzers
1717,DoS
1718,Exploits
1719,Exploits
1720,Normal
1721,Fuzzers
1722,DoS
1723,Fuzzers
1724,Exploits
1725,Generic
1726,Fuzzers
1727,DoS
1728,Exploits
1729,Fuzzers
1730,Exploits
1731,Reconnaissance
1732,Exploits
1733,Exploits
1734,Normal
1735,Generic
1736,Fuzzers
1737,DoS
1738,Fuzzers
1739,Generic
1740,Generic
1741,Generic
1742,Generic
1743,Generic
1744,Generic
1745,Normal
1746,Exploits
1747,Generic
1748,Normal
1749,Fuzzers
1750,Reconnaissance
1751,Fuzzers
1752,Reconnaissance
1753,DoS
1754,Exploits
1755,Fuzzers
1756,Normal
1757,Normal
1758,Exploits
1759,Exploits
1760,Normal
1761,Normal
1762,Generic
1763,Generic
1764,Exploits
1765,DoS
1766,Exploits
1767,DoS
1768,DoS
1769,Normal
1770,DoS
1771,DoS
1772,Exploits
1773,Normal
1774,Fuzzers
1775,Fuzzers
1776,DoS
1777,DoS
1778,Fuzzers
1779,DoS
1780,Fuzzers
1781,Fuzzers
1782,Generic
1783,DoS
1784,Reconnaissance
1785,Generic
1786,Generic
1787,Fuzzers
1788,Exploits
1789,Shellcode
1790,Fuzzers
1791,Generic
1792,Normal
1793,DoS
1794,Normal
1795,Normal
1796,Normal
1797,Generic
1798,Generic
1799,Exploits
1800,Normal
1801,Normal
1802,DoS
1803,DoS
1804,Normal
1805,Normal
1806,DoS
1807,Generic
1808,Normal
1809,Fuzzers
1810,DoS
1811,Fuzzers
1812,DoS
1813,Normal
1814,Exploits
1815,Fuzzers
1816,Normal
1817,Exploits
1818,Fuzzers
1819,Exploits
1820,DoS
1821,Fuzzers
1822,Normal
1823,Fuzzers
1824,Exploits
1825,Fuzzers
1826,Fuzzers
1827,Fuzzers
1828,Generic
1829,DoS
1830,DoS
1831,Reconnaissance
1832,DoS
1833,Exploits
1834,Normal
1835,Exploits
1836,Generic
1837,Generic
1838,Reconnaissance
1839,Exploits
